#heuristic2.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h2,58562,cyc_0020-02.txt,20,46,20800,0,,0
h2,58563,cyc_0020-02.txt,20,46,2700,0,,0
h2,58564,cyc_0020-02.txt,20,46,1400,0,,0
h2,58565,cyc_0020-02.txt,20,46,22700,0,,0
h2,58566,cyc_0020-02.txt,20,46,22200,0,,0
h2,58567,cyc_0020-02.txt,20,46,15600,0,,0
h2,58568,cyc_0020-02.txt,20,46,1900,0,,0
h2,58569,cyc_0020-02.txt,20,46,1900,0,,0
h2,58570,cyc_0020-02.txt,20,46,16900,0,,0
h2,58571,cyc_0020-02.txt,20,46,1700,0,,0
h2,58572,cyc_0020-02.txt,20,46,1800,0,,0
h2,58573,cyc_0020-02.txt,20,46,1800,0,,0
h2,58574,cyc_0020-02.txt,20,46,1900,0,,0
h2,58575,cyc_0020-02.txt,20,46,1600,0,,0
h2,58576,cyc_0020-02.txt,20,46,2200,0,,0
h2,58577,cyc_0020-02.txt,20,46,1700,0,,0
h2,58578,cyc_0020-02.txt,20,46,15500,0,,0
h2,58579,cyc_0020-02.txt,20,46,1700,0,,0
h2,58580,cyc_0020-02.txt,20,46,2000,0,,0
h2,58581,cyc_0020-02.txt,20,46,2000,0,,0
h2,58582,cyc_0020-03.txt,20,59,2800,0,,0
h2,58583,cyc_0020-03.txt,20,59,1700,0,,0
h2,58584,cyc_0020-03.txt,20,59,1700,0,,0
h2,58585,cyc_0020-03.txt,20,59,11800,0,,0
h2,58586,cyc_0020-03.txt,20,59,1900,0,,0
h2,58587,cyc_0020-03.txt,20,59,1900,0,,0
h2,58588,cyc_0020-03.txt,20,59,1700,0,,0
h2,58589,cyc_0020-03.txt,20,59,1700,0,,0
h2,58590,cyc_0020-03.txt,20,59,1600,0,,0
h2,58591,cyc_0020-03.txt,20,59,1800,0,,0
h2,58592,cyc_0020-03.txt,20,59,1800,0,,0
h2,58593,cyc_0020-03.txt,20,59,1500,0,,0
h2,58594,cyc_0020-03.txt,20,59,1800,0,,0
h2,58595,cyc_0020-03.txt,20,59,2000,0,,0
h2,58596,cyc_0020-03.txt,20,59,2000,0,,0
h2,58597,cyc_0020-03.txt,20,59,2200,0,,0
h2,58598,cyc_0020-03.txt,20,59,2000,0,,0
h2,58599,cyc_0020-03.txt,20,59,2200,0,,0
h2,58600,cyc_0020-03.txt,20,59,1800,0,,0
h2,58601,cyc_0020-03.txt,20,59,1600,0,,0
h2,58602,cyc_0020-15.txt,20,275,5100,0,,0
h2,58603,cyc_0020-15.txt,20,275,1900,0,,0
h2,58604,cyc_0020-15.txt,20,275,1900,0,,0
h2,58605,cyc_0020-15.txt,20,275,1700,0,,0
h2,58606,cyc_0020-15.txt,20,275,1500,0,,0
h2,58607,cyc_0020-15.txt,20,275,1500,0,,0
h2,58608,cyc_0020-15.txt,20,275,1700,0,,0
h2,58609,cyc_0020-15.txt,20,275,2000,0,,0
h2,58610,cyc_0020-15.txt,20,275,1600,0,,0
h2,58611,cyc_0020-15.txt,20,275,1500,0,,0
h2,58612,cyc_0020-15.txt,20,275,1700,0,,0
h2,58613,cyc_0020-15.txt,20,275,2100,0,,0
h2,58614,cyc_0020-15.txt,20,275,1600,0,,0
h2,58615,cyc_0020-15.txt,20,275,1600,0,,0
h2,58616,cyc_0020-15.txt,20,275,1500,0,,0
h2,58617,cyc_0020-15.txt,20,275,1600,0,,0
h2,58618,cyc_0020-15.txt,20,275,1600,0,,0
h2,58619,cyc_0020-15.txt,20,275,1500,0,,0
h2,58620,cyc_0020-15.txt,20,275,10200,0,,0
h2,58621,cyc_0020-15.txt,20,275,1700,0,,0
h2,58622,cyc_0030-03.txt,30,96,3000,0,,0
h2,58623,cyc_0030-03.txt,30,96,2200,0,,0
h2,58624,cyc_0030-03.txt,30,96,1800,0,,0
h2,58625,cyc_0030-03.txt,30,96,1700,0,,0
h2,58626,cyc_0030-03.txt,30,96,2400,0,,0
h2,58627,cyc_0030-03.txt,30,96,1800,0,,0
h2,58628,cyc_0030-03.txt,30,96,1600,0,,0
h2,58629,cyc_0030-03.txt,30,96,2200,0,,0
h2,58630,cyc_0030-03.txt,30,96,1800,0,,0
h2,58631,cyc_0030-03.txt,30,96,2400,0,,0
h2,58632,cyc_0030-03.txt,30,96,2100,0,,0
h2,58633,cyc_0030-03.txt,30,96,2000,0,,0
h2,58634,cyc_0030-03.txt,30,96,2300,0,,0
h2,58635,cyc_0030-03.txt,30,96,2100,0,,0
h2,58636,cyc_0030-03.txt,30,96,2400,0,,0
h2,58637,cyc_0030-03.txt,30,96,2500,0,,0
h2,58638,cyc_0030-03.txt,30,96,1700,0,,0
h2,58639,cyc_0030-03.txt,30,96,2200,0,,0
h2,58640,cyc_0030-03.txt,30,96,1800,0,,0
h2,58641,cyc_0030-03.txt,30,96,2000,0,,0
h2,58642,cyc_0030-03.txt,30,96,2300,0,,0
h2,58643,cyc_0030-03.txt,30,96,2000,0,,0
h2,58644,cyc_0030-03.txt,30,96,2500,0,,0
h2,58645,cyc_0030-03.txt,30,96,1800,0,,0
h2,58646,cyc_0030-03.txt,30,96,2200,0,,0
h2,58647,cyc_0030-03.txt,30,96,2300,0,,0
h2,58648,cyc_0030-03.txt,30,96,2300,0,,0
h2,58649,cyc_0030-03.txt,30,96,1900,0,,0
h2,58650,cyc_0030-03.txt,30,96,2300,0,,0
h2,58651,cyc_0030-03.txt,30,96,1500,0,,0
h2,58652,cyc_0030-15.txt,30,430,3900,0,,0
h2,58653,cyc_0030-15.txt,30,430,47800,0,,0
h2,58654,cyc_0030-15.txt,30,430,1300,0,,0
h2,58655,cyc_0030-15.txt,30,430,1000,0,,0
h2,58656,cyc_0030-15.txt,30,430,1100,0,,0
h2,58657,cyc_0030-15.txt,30,430,1100,0,,0
h2,58658,cyc_0030-15.txt,30,430,1200,0,,0
h2,58659,cyc_0030-15.txt,30,430,1300,0,,0
h2,58660,cyc_0030-15.txt,30,430,1000,0,,0
h2,58661,cyc_0030-15.txt,30,430,1200,0,,0
h2,58662,cyc_0030-15.txt,30,430,1000,0,,0
h2,58663,cyc_0030-15.txt,30,430,1100,0,,0
h2,58664,cyc_0030-15.txt,30,430,900,0,,0
h2,58665,cyc_0030-15.txt,30,430,1000,0,,0
h2,58666,cyc_0030-15.txt,30,430,1000,0,,0
h2,58667,cyc_0030-15.txt,30,430,1200,0,,0
h2,58668,cyc_0030-15.txt,30,430,1000,0,,0
h2,58669,cyc_0030-15.txt,30,430,1000,0,,0
h2,58670,cyc_0030-15.txt,30,430,1200,0,,0
h2,58671,cyc_0030-15.txt,30,430,1300,0,,0
h2,58672,cyc_0030-15.txt,30,430,1100,0,,0
h2,58673,cyc_0030-15.txt,30,430,1000,0,,0
h2,58674,cyc_0030-15.txt,30,430,1000,0,,0
h2,58675,cyc_0030-15.txt,30,430,1100,0,,0
h2,58676,cyc_0030-15.txt,30,430,900,0,,0
h2,58677,cyc_0030-15.txt,30,430,1000,0,,0
h2,58678,cyc_0030-15.txt,30,430,1100,0,,0
h2,58679,cyc_0030-15.txt,30,430,1000,0,,0
h2,58680,cyc_0030-15.txt,30,430,1100,0,,0
h2,58681,cyc_0030-15.txt,30,430,1100,0,,0
h2,58682,cyc_0050-03.txt,50,150,3300,0,,0
h2,58683,cyc_0050-03.txt,50,150,1300,0,,0
h2,58684,cyc_0050-03.txt,50,150,1200,0,,0
h2,58685,cyc_0050-03.txt,50,150,1500,0,,0
h2,58686,cyc_0050-03.txt,50,150,1200,0,,0
h2,58687,cyc_0050-03.txt,50,150,1100,0,,0
h2,58688,cyc_0050-03.txt,50,150,1200,0,,0
h2,58689,cyc_0050-03.txt,50,150,6100,0,,0
h2,58690,cyc_0050-03.txt,50,150,1200,0,,0
h2,58691,cyc_0050-03.txt,50,150,1500,0,,0
h2,58692,cyc_0050-03.txt,50,150,1300,0,,0
h2,58693,cyc_0050-03.txt,50,150,1300,0,,0
h2,58694,cyc_0050-03.txt,50,150,1200,0,,0
h2,58695,cyc_0050-03.txt,50,150,1300,0,,0
h2,58696,cyc_0050-03.txt,50,150,1200,0,,0
h2,58697,cyc_0050-03.txt,50,150,1500,0,,0
h2,58698,cyc_0050-03.txt,50,150,1200,0,,0
h2,58699,cyc_0050-03.txt,50,150,1400,0,,0
h2,58700,cyc_0050-03.txt,50,150,1600,0,,0
h2,58701,cyc_0050-03.txt,50,150,1100,0,,0
h2,58702,cyc_0050-03.txt,50,150,1200,0,,0
h2,58703,cyc_0050-03.txt,50,150,1500,0,,0
h2,58704,cyc_0050-03.txt,50,150,1400,0,,0
h2,58705,cyc_0050-03.txt,50,150,1300,0,,0
h2,58706,cyc_0050-03.txt,50,150,1200,0,,0
h2,58707,cyc_0050-03.txt,50,150,1200,0,,0
h2,58708,cyc_0050-03.txt,50,150,1100,0,,0
h2,58709,cyc_0050-03.txt,50,150,1600,0,,0
h2,58710,cyc_0050-03.txt,50,150,1200,0,,0
h2,58711,cyc_0050-03.txt,50,150,1300,0,,0
h2,58712,cyc_0050-03.txt,50,150,1200,0,,0
h2,58713,cyc_0050-03.txt,50,150,1400,0,,0
h2,58714,cyc_0050-03.txt,50,150,1100,0,,0
h2,58715,cyc_0050-03.txt,50,150,1600,0,,0
h2,58716,cyc_0050-03.txt,50,150,1000,0,,0
h2,58717,cyc_0050-03.txt,50,150,1400,0,,0
h2,58718,cyc_0050-03.txt,50,150,1400,0,,0
h2,58719,cyc_0050-03.txt,50,150,1200,0,,0
h2,58720,cyc_0050-03.txt,50,150,1000,0,,0
h2,58721,cyc_0050-03.txt,50,150,1500,0,,0
h2,58722,cyc_0050-03.txt,50,150,1200,0,,0
h2,58723,cyc_0050-03.txt,50,150,1300,0,,0
h2,58724,cyc_0050-03.txt,50,150,1000,0,,0
h2,58725,cyc_0050-03.txt,50,150,1300,0,,0
h2,58726,cyc_0050-03.txt,50,150,1300,0,,0
h2,58727,cyc_0050-03.txt,50,150,1900,0,,0
h2,58728,cyc_0050-03.txt,50,150,5100,0,,0
