#isAcyclic.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
isAcyclic,1,acyc_0020-03.txt,20,64,1571000,0,,0
isAcyclic,2,acyc_0020-15.txt,20,190,235300,0,,0
isAcyclic,3,acyc_0030-03.txt,30,75,116700,0,,0
isAcyclic,4,acyc_0030-15.txt,30,435,593100,0,,0
isAcyclic,5,acyc_0050-03.txt,50,153,263200,0,,0
isAcyclic,6,acyc_0050-15.txt,50,746,787900,0,,0
isAcyclic,7,acyc_0070-03.txt,70,204,241300,0,,0
isAcyclic,8,acyc_0070-15.txt,70,1060,479600,0,,0
isAcyclic,9,acyc_0100-03.txt,100,299,534400,0,,0
isAcyclic,10,acyc_0100-15.txt,100,1482,589400,0,,0
isAcyclic,11,acyc_0150-03.txt,150,443,669000,0,,0
isAcyclic,12,acyc_0150-15.txt,150,2247,816600,0,,0
isAcyclic,13,acyc_0200-03.txt,200,588,565000,0,,0
isAcyclic,14,acyc_0200-15.txt,200,2967,852100,0,,0
isAcyclic,15,acyc_0300-03.txt,300,903,361700,0,,0
isAcyclic,16,acyc_0300-15.txt,300,4478,1786900,0,,0
isAcyclic,17,acyc_0500-03.txt,500,1406,751100,0,,0
isAcyclic,18,acyc_0500-15.txt,500,7414,3252300,0,,0
isAcyclic,19,acyc_0700-03.txt,700,2219,1112200,0,,0
isAcyclic,20,acyc_0700-15.txt,700,10611,3715800,0,,0
isAcyclic,21,acyc_1000-03.txt,1000,2966,1528000,0,,0
isAcyclic,22,acyc_1000-15.txt,1000,14932,3628300,0,,0
isAcyclic,23,acyc_1500-03.txt,1500,4600,1638800,0,,0
isAcyclic,24,acyc_1500-15.txt,1500,22527,5078800,0,,0
isAcyclic,25,acyc_2000-03.txt,2000,5970,2649100,0,,0
isAcyclic,26,acyc_2000-15.txt,2000,29880,7984400,0,,0
isAcyclic,27,acyc_3000-03.txt,3000,9035,2339900,0,,0
isAcyclic,28,acyc_3000-15.txt,3000,44862,6396100,0,,0
isAcyclic,29,acyc_5000-03.txt,5000,14940,5424900,0,,0
isAcyclic,30,acyc_5000-15.txt,5000,75163,15841000,0,,0
isAcyclic,31,cyc_0020-02.txt,20,46,49500,0,,0
isAcyclic,32,cyc_0020-03.txt,20,59,35100,0,,0
isAcyclic,33,cyc_0020-15.txt,20,275,9400,0,,0
isAcyclic,34,cyc_0030-03.txt,30,96,26700,0,,0
isAcyclic,35,cyc_0030-15.txt,30,430,32800,0,,0
isAcyclic,36,cyc_0050-03.txt,50,150,18000,0,,0
isAcyclic,37,cyc_0050-15.txt,50,761,13200,0,,0
isAcyclic,38,cyc_0070-03.txt,70,244,34800,0,,0
isAcyclic,39,cyc_0070-15.txt,70,1062,43100,0,,0
isAcyclic,40,cyc_0100-03.txt,100,315,286600,0,,0
isAcyclic,41,cyc_0100-15.txt,100,1475,45700,0,,0
isAcyclic,42,cyc_0150-03.txt,150,458,63400,0,,0
isAcyclic,43,cyc_0150-15.txt,150,2189,25200,0,,0
isAcyclic,44,cyc_0200-03.txt,200,574,54200,0,,0
isAcyclic,45,cyc_0200-15.txt,200,3015,27200,0,,0
isAcyclic,46,cyc_0300-03.txt,300,922,65800,0,,0
isAcyclic,47,cyc_0300-15.txt,300,4407,48300,0,,0
isAcyclic,48,cyc_0500-03.txt,500,1501,210800,0,,0
isAcyclic,49,cyc_0500-15.txt,500,7563,60100,0,,0
isAcyclic,50,cyc_0700-03.txt,700,2086,149500,0,,0
isAcyclic,51,cyc_0700-15.txt,700,10457,91300,0,,0
isAcyclic,52,cyc_1000-03.txt,1000,3001,268600,0,,0
isAcyclic,53,cyc_1000-15.txt,1000,15008,128500,0,,0
isAcyclic,54,cyc_1500-03.txt,1500,4476,374700,0,,0
isAcyclic,55,cyc_1500-15.txt,1500,22304,207100,0,,0
isAcyclic,56,cyc_2000-03.txt,2000,6061,401800,0,,0
isAcyclic,57,cyc_2000-15.txt,2000,30069,373500,0,,0
isAcyclic,58,cyc_3000-03.txt,3000,9058,814400,0,,0
isAcyclic,59,cyc_3000-15.txt,3000,44828,586400,0,,0
isAcyclic,60,cyc_5000-03.txt,5000,14887,1342400,0,,0
isAcyclic,61,cyc_5000-15.txt,5000,74919,1727700,0,,0
