#brute-force.csv
#
#
#
group,number,duration,size
Brute Force,67,4900,0
Brute Force,68,900,1
Brute Force,69,700,1
Brute Force,70,600,2
Brute Force,71,500,3
Brute Force,72,6600,3
Brute Force,73,2500,3
Brute Force,74,600,3
Brute Force,75,2300,3
Brute Force,76,700,3
Brute Force,77,600,8
Brute Force,78,500,8
Brute Force,79,2300,8
Brute Force,80,4500,8
Brute Force,81,3000,8
Brute Force,82,600,8
Brute Force,83,600,8
Brute Force,84,2200,8
Brute Force,85,2500,8
Brute Force,86,6400,8
Brute Force,87,6500,8
Brute Force,88,20300,8
Brute Force,89,4500,8
Brute Force,90,4000,8
Brute Force,91,4300,8
Brute Force,92,2500,8
Brute Force,93,3200,8
Brute Force,94,22600,8
Brute Force,95,3100,8
Brute Force,96,2400,8
Brute Force,97,3000,8
Brute Force,98,600,8
Brute Force,99,700,8
