#combination.csv
#Tobias
#Scharsching
#12123692
group,number,duration,size
Combination,307,17100,8
Combination,308,4800,8
Combination,309,4400,8
Combination,310,7000,8
Combination,311,25500,8
Combination,312,4300,8
Combination,313,1300,8
Combination,314,3400,8
Combination,315,3800,8
Combination,316,4000,8
Combination,317,4000,8
Combination,318,24100,8
Combination,319,1300,8
Combination,320,2700,8
Combination,321,3500,8
Combination,322,3600,8
Combination,323,4400,8
Combination,324,4000,8
Combination,325,2900,8
Combination,326,3500,8
Combination,327,3800,8
Combination,328,3600,8
Combination,329,3600,8
Combination,330,4100,8
Combination,331,1300,8
Combination,332,4900,8
Combination,333,9600,8
Combination,334,3600,8
Combination,335,3700,8
Combination,336,3700,8
Combination,337,1200,8
Combination,338,2800,8
Combination,339,3400,8
Combination,340,3700,8
Combination,341,3600,8
Combination,342,3600,8
Combination,343,18300,8
Combination,344,3000,8
Combination,345,17300,8
Combination,346,3500,8
Combination,347,4500,8
Combination,348,3400,8
Combination,349,1400,8
Combination,350,3400,8
Combination,351,3600,8
Combination,352,3500,8
Combination,353,3400,8
Combination,354,3400,8
Combination,355,1300,8
Combination,356,2800,8
Combination,357,3300,8
Combination,358,3600,8
Combination,359,5500,8
Combination,360,17900,8
Combination,361,3000,8
Combination,362,3500,8
Combination,363,4300,8
Combination,364,4700,8
Combination,365,4700,8
Combination,366,5200,8
Combination,367,1400,8
Combination,368,3600,8
Combination,369,3500,8
Combination,370,4200,8
Combination,371,17700,8
Combination,372,4100,8
Combination,373,1300,8
Combination,374,2600,8
Combination,375,3600,8
Combination,376,3800,8
Combination,377,4000,8
Combination,378,4000,8
Combination,379,2700,8
Combination,380,3300,8
Combination,381,5300,8
Combination,382,3400,8
Combination,383,4000,8
Combination,384,3800,8
Combination,385,1300,8
Combination,386,3200,8
Combination,387,3600,8
Combination,388,3600,8
Combination,389,3800,8
Combination,390,3700,8
Combination,391,1400,8
Combination,392,2500,8
Combination,393,3300,8
Combination,394,4000,8
Combination,395,3700,8
Combination,396,17900,8
Combination,397,2500,8
Combination,398,3000,8
Combination,399,3100,8
Combination,400,3100,8
Combination,401,17100,8
Combination,402,3400,8
Combination,403,1200,8
Combination,404,3100,8
Combination,405,3100,8
Combination,406,3400,8
Combination,407,3800,8
Combination,408,3700,8
Combination,409,1500,8
Combination,410,2700,8
Combination,411,3900,8
Combination,412,17700,8
Combination,413,5000,8
Combination,414,3600,8
Combination,415,3000,8
Combination,416,3100,8
Combination,417,4000,8
Combination,418,3700,8
Combination,419,4300,8
Combination,420,4400,8
Combination,421,1300,8
Combination,422,4400,8
Combination,423,3400,8
Combination,424,4100,8
Combination,425,4900,8
Combination,426,4400,8
Combination,427,1300,8
Combination,428,3100,8
Combination,429,4000,8
Combination,430,6800,8
Combination,431,4800,8
Combination,432,4700,8
Combination,433,2800,8
Combination,434,9300,8
Combination,435,3500,8
Combination,436,3700,8
Combination,437,4100,8
Combination,438,4300,8
Combination,439,1300,8
Combination,440,17300,8
Combination,441,3400,8
Combination,442,3800,8
Combination,443,3900,8
Combination,444,3800,8
Combination,445,1300,8
Combination,446,2600,8
Combination,447,3500,8
Combination,448,4000,8
Combination,449,20000,8
Combination,450,5200,8
Combination,451,3100,8
Combination,452,3000,8
Combination,453,3500,8
Combination,454,3700,8
Combination,455,11500,8
Combination,456,4100,8
Combination,457,1400,8
Combination,458,3700,8
Combination,459,17400,8
Combination,460,24500,8
Combination,461,3900,8
Combination,462,3800,8
Combination,463,1500,8
Combination,464,3000,8
Combination,465,3900,8
Combination,466,3900,8
Combination,467,3900,8
Combination,468,4300,8
