#insertion-sort.csv
#
#
#
group,number,duration,size
Insertion Sort,1,8100,0
Insertion Sort,2,1100,1
Insertion Sort,3,800,1
Insertion Sort,4,900,2
Insertion Sort,5,900,3
Insertion Sort,6,4100,3
Insertion Sort,7,1500,3
Insertion Sort,8,900,3
Insertion Sort,9,1300,3
Insertion Sort,10,900,3
Insertion Sort,11,600,8
Insertion Sort,12,800,8
Insertion Sort,13,1300,8
Insertion Sort,14,1700,8
Insertion Sort,15,1800,8
Insertion Sort,16,800,8
Insertion Sort,17,1000,8
Insertion Sort,18,1300,8
Insertion Sort,19,1400,8
Insertion Sort,20,2700,8
Insertion Sort,21,2500,8
Insertion Sort,22,2300,8
Insertion Sort,23,2000,8
Insertion Sort,24,1700,8
Insertion Sort,25,2000,8
Insertion Sort,26,1300,8
Insertion Sort,27,1600,8
Insertion Sort,28,1900,8
Insertion Sort,29,1500,8
Insertion Sort,30,1600,8
Insertion Sort,31,1200,8
Insertion Sort,32,900,8
Insertion Sort,33,600,8
Insertion Sort,34,600,0
Insertion Sort,35,600,1
Insertion Sort,36,800,1
Insertion Sort,37,900,2
Insertion Sort,38,900,3
Insertion Sort,39,2800,3
Insertion Sort,40,22000,3
Insertion Sort,41,800,3
Insertion Sort,42,1200,3
Insertion Sort,43,900,3
Insertion Sort,44,600,8
Insertion Sort,45,900,8
Insertion Sort,46,1200,8
Insertion Sort,47,1300,8
Insertion Sort,48,1400,8
Insertion Sort,49,600,8
Insertion Sort,50,800,8
Insertion Sort,51,1100,8
Insertion Sort,52,1500,8
Insertion Sort,53,2100,8
Insertion Sort,54,2000,8
Insertion Sort,55,22000,8
Insertion Sort,56,2000,8
Insertion Sort,57,1700,8
Insertion Sort,58,1800,8
Insertion Sort,59,1500,8
Insertion Sort,60,1800,8
Insertion Sort,61,1600,8
Insertion Sort,62,1400,8
Insertion Sort,63,1200,8
Insertion Sort,64,15900,8
Insertion Sort,65,900,8
Insertion Sort,66,600,8
