#median-of-three.csv
#
#
#
group,number,duration,size
SplitValue - Median Of Three,156,6200,1
SplitValue - Median Of Three,157,1100,2
SplitValue - Median Of Three,158,700,3
SplitValue - Median Of Three,159,11400,3
SplitValue - Median Of Three,160,1500,3
SplitValue - Median Of Three,161,700,3
SplitValue - Median Of Three,162,1300,3
SplitValue - Median Of Three,163,700,3
SplitValue - Median Of Three,164,700,8
SplitValue - Median Of Three,165,1400,8
SplitValue - Median Of Three,166,1300,8
SplitValue - Median Of Three,167,1200,8
SplitValue - Median Of Three,168,700,8
SplitValue - Median Of Three,169,1500,8
SplitValue - Median Of Three,170,1500,8
SplitValue - Median Of Three,171,1700,8
SplitValue - Median Of Three,172,1400,8
SplitValue - Median Of Three,173,1300,8
SplitValue - Median Of Three,174,1300,8
SplitValue - Median Of Three,175,1400,8
SplitValue - Median Of Three,176,1300,8
SplitValue - Median Of Three,177,16600,8
SplitValue - Median Of Three,178,1500,8
SplitValue - Median Of Three,179,1600,8
SplitValue - Median Of Three,180,16300,8
SplitValue - Median Of Three,181,1500,8
SplitValue - Median Of Three,182,1500,8
SplitValue - Median Of Three,183,600,8
