#random.csv
#
#
#
group,number,duration,size
SplitValue - Random,100,7200,1
SplitValue - Random,101,1300,2
SplitValue - Random,102,21800,3
SplitValue - Random,103,30900,3
SplitValue - Random,104,2900,3
SplitValue - Random,105,14700,3
SplitValue - Random,106,3000,3
SplitValue - Random,107,900,3
SplitValue - Random,108,700,8
SplitValue - Random,109,2300,8
SplitValue - Random,110,2300,8
SplitValue - Random,111,2200,8
SplitValue - Random,112,600,8
SplitValue - Random,113,2100,8
SplitValue - Random,114,2200,8
SplitValue - Random,115,2200,8
SplitValue - Random,116,2300,8
SplitValue - Random,117,2300,8
SplitValue - Random,118,2300,8
SplitValue - Random,119,2500,8
SplitValue - Random,120,6900,8
SplitValue - Random,121,3900,8
SplitValue - Random,122,2900,8
SplitValue - Random,123,2700,8
SplitValue - Random,124,4000,8
SplitValue - Random,125,4800,8
SplitValue - Random,126,4000,8
SplitValue - Random,127,1200,8
