#split.csv
#Tobias
#Scharsching
#12123692
group,number,duration,size
Split,184,6400,8
Split,185,1900,8
Split,186,6700,8
Split,187,2400,8
Split,188,2100,8
Split,189,2400,8
Split,190,2600,8
Split,191,4100,8
Split,192,2400,8
Split,193,2600,8
Split,194,2600,8
Split,195,2200,8
Split,196,2500,8
Split,197,20900,8
Split,198,2300,8
Split,199,2400,8
Split,200,2600,8
Split,201,2500,8
Split,202,17400,8
Split,203,2600,8
Split,204,3400,8
Split,205,2800,8
Split,206,16100,8
Split,207,2700,8
Split,208,2500,8
Split,209,2300,8
Split,210,17100,8
Split,211,2700,8
Split,212,2300,8
Split,213,2700,8
Split,214,2400,8
Split,215,2600,8
Split,216,2700,8
Split,217,2700,8
Split,218,3700,8
Split,219,2600,8
Split,220,2900,8
Split,221,2600,8
Split,222,2500,8
Split,223,2800,8
Split,224,2900,8
Split,225,2700,8
Split,226,2600,8
Split,227,2700,8
Split,228,2800,8
Split,229,2800,8
Split,230,2500,8
Split,231,2500,8
Split,232,2400,8
Split,233,2500,8
Split,234,2400,8
Split,235,2500,8
Split,236,2500,8
Split,237,2600,8
Split,238,2400,8
Split,239,2400,8
Split,240,2900,8
Split,241,2500,8
Split,242,2700,8
Split,243,2900,8
Split,244,2900,8
Split,245,3700,8
Split,246,17600,8
Split,247,2600,8
Split,248,3800,8
Split,249,2600,8
Split,250,2800,8
Split,251,3500,8
Split,252,3000,8
Split,253,3300,8
Split,254,2600,8
Split,255,2500,8
Split,256,2500,8
Split,257,2600,8
Split,258,2400,8
Split,259,2400,8
Split,260,2500,8
Split,261,2400,8
Split,262,2400,8
Split,263,2300,8
Split,264,2500,8
Split,265,2800,8
Split,266,2600,8
Split,267,2400,8
Split,268,2400,8
Split,269,2600,8
Split,270,2700,8
Split,271,2700,8
Split,272,2600,8
Split,273,2500,8
Split,274,2700,8
Split,275,2700,8
Split,276,2600,8
Split,277,2600,8
Split,278,2500,8
Split,279,2600,8
Split,280,2800,8
Split,281,2500,8
Split,282,2700,8
Split,283,2500,8
Split,284,2700,8
Split,285,2600,8
Split,286,2700,8
Split,287,3800,8
Split,288,2500,8
Split,289,2200,8
Split,290,3200,8
Split,291,2400,8
Split,292,2200,8
Split,293,2600,8
Split,294,2500,8
Split,295,9500,8
Split,296,2500,8
Split,297,2400,8
Split,298,2300,8
Split,299,2300,8
Split,300,2400,8
Split,301,2400,8
Split,302,700,8
Split,303,2300,8
Split,304,2400,8
Split,305,3700,8
Split,306,2400,8
